word,sent
livid,-0.92039801
poorest,-0.886524823
disgrac,-0.879770992
refund,-0.878113516
cockroach,-0.875700935
rudest,-0.871559633
fraud,-0.86746988
mismanag,-0.866666667
incompet,-0.863254393
audac,-0.861056751
inept,-0.853046595
disrespect,-0.852305896
dishonest,-0.84981685
filth,-0.849593496
racism,-0.849056604
roach,-0.848372093
worst,-0.846289753
rancid,-0.845669291
fraudul,-0.844827586
unprofession,-0.840909091
nastiest,-0.838383838
disgust,-0.838169025
injuri,-0.831230284
appal,-0.828173375
tastless,-0.827868852
poison,-0.826817043
uncar,-0.826086957
vomit,-0.825709779
diarrhea,-0.823695346
unaccept,-0.82218543
uneat,-0.822115385
deplor,-0.821969697
unconcern,-0.821428571
unsanitari,-0.819391635
accus,-0.818304172
filthi,-0.817236256
scam,-0.816804408
liar,-0.815845824
awfulth,-0.80952381
belittl,-0.807142857
curtli,-0.805555556
putrid,-0.805309735
horribl,-0.80510029
violent,-0.804988662
uned,-0.804979253
humili,-0.803571429
dirtiest,-0.8
confront,-0.798561151
blandest,-0.798165138
rotten,-0.79765131
slowest,-0.796143251
insult,-0.795623014
inexcus,-0.793587174
terribleth,-0.79245283
pathet,-0.792246521
unhelp,-0.791586998
ined,-0.787672689
blatantli,-0.78708134
grossest,-0.784313725
theft,-0.782945736
insect,-0.780487805
driest,-0.780346821
dishwat,-0.777777778
racial,-0.777108434
mistreat,-0.777027027
tasteless,-0.77364125
horriblei,-0.772277228
decenc,-0.772151899
empathi,-0.772151899
retrain,-0.770491803
improperli,-0.768181818
rude,-0.768159715
racist,-0.767832168
condescend,-0.766722408
unapologet,-0.764808362
abysm,-0.764705882
thiev,-0.764227642
gnat,-0.763313609
coffin,-0.762237762
smh,-0.762128326
moldi,-0.762048193
angrili,-0.761904762
inspector,-0.761609907
despic,-0.761061947
nausea,-0.760638298
waitedand,-0.760204082
cuss,-0.758823529
infuri,-0.757847534
insinu,-0.757281553
atroci,-0.755605381
displeasur,-0.755162242
terriblei,-0.754545455
aw,-0.752512904
unwash,-0.752293578
unsatisfactori,-0.751037344
furiou,-0.749440716
snide,-0.74863388
downhil,-0.748509485
stouffer,-0.745283019
substandard,-0.745098039
emphat,-0.743774809
stunk,-0.743083004
inconsider,-0.743055556
voicemail,-0.74260355
uncal,-0.74248927
untrain,-0.74122807
yuck,-0.740202703
saltiest,-0.74
