word,count,pos,neg
housew,157,88,40
mu,503,319,99
steroid,455,347,45
finish,53964,30562,15042
mb,171,110,25
soll,416,191,140
breathtak,568,467,36
funni,10735,6436,2592
experiencei,718,408,207
flavourless,800,73,568
dhaba,284,219,33
propritair,138,102,18
slightli,25378,15165,4086
misfortun,210,45,136
swag,131,95,13
persona,160,105,34
langen,123,71,23
singapor,1467,972,269
toston,386,273,40
optisch,175,112,34
reseat,175,58,82
valentin,3435,2157,829
unidentifi,251,67,147
irat,118,21,87
hotelth,121,65,30
chianti,613,431,94
mediocr,26155,3573,15839
rooster,414,268,66
fani,137,100,19
timeand,212,133,53
dandi,200,113,40
ash,480,241,175
roommat,1341,833,340
bologna,394,245,88
ripe,1355,800,307
accompagn,420,297,33
overflow,1469,774,452
slope,177,97,38
curiou,3055,1822,571
chefown,499,394,66
rehears,722,528,120
bedient,496,271,132
brava,596,422,67
hype,11646,4271,3949
quantiti,7781,4273,1905
hefti,1861,1162,324
draft,8696,5543,1533
ditch,608,309,164
averag,49767,16078,15820
foodbut,376,184,100
wrist,261,123,86
feelth,111,67,19
diabla,206,167,17
fb,587,315,199
yountvil,127,94,12
jador,292,257,2
devot,484,341,74
overcook,15409,3805,7907
mcnugget,161,45,93
weekli,3997,3145,475
impromptu,487,364,47
fatten,482,331,54
schezuan,125,74,24
bellwood,103,76,13
crackl,433,331,45
lifechang,166,125,10
romanc,402,303,35
busser,1961,750,837
salami,2461,1747,325
beachi,113,72,10
gouda,1220,948,107
unsur,1711,959,428
indecis,958,747,77
radiat,164,107,33
agnolotti,470,343,55
ask,223729,80619,107942
militari,1115,703,269
enlighten,247,174,40
doth,191,112,42
depict,200,107,52
commot,173,85,63
ai,563,380,87
appolog,108,20,76
simplest,322,153,123
columbia,141,108,16
shoestr,1321,886,169
contend,666,512,69
chaqu,342,272,27
sb,169,108,24
sexual,282,109,118
uneat,208,14,171
stunden,193,77,81
ft,745,427,213
koo,137,107,12
fur,263,167,49
placei,1647,1033,370
quieter,1304,879,152
iowa,246,151,50
throwback,510,395,43
soth,219,106,52
vorher,300,181,72
