amaz,2348
food,6986
truli,193
excel,1196
best,2940
lobster,265
bisqu,35
prime,105
rib,390
probabl,388
bedt,1
ive,1849
had,557
great,5942
servic,3599
downsid,34
size,382
portion,700
wast,27
lot,838
unfortun,63
second,290
time,3467
here,1059
seafood,307
awesom,1229
rememb,246
got,1457
king,84
crab,349
dinner,1099
packag,32
come,2167
soup,666
cook,793
differ,641
way,842
steam,88
friend,1103
dri,117
garlic,286
fri,1586
rice,702
hk,10
style,312
the,146
tower,28
see,630
photo,37
snow,27
pea,31
dessert,788
meant,27
peopl,891
pre,11
tax,37
tip,174
howev,253
larger,47
lb,31
pay,228
addit,145
extra,295
weight,18
think,807
amount,252
could,846
fed,22
parti,285
love,3483
leg,78
super,821
yummi,392
restaur,2526
definit,1754
worth,829
visit,924
lover,87
get,2842
busi,662
make,1709
sure,893
call,345
ahead,57
reserv,291
esp,9
plan,165
weekend,288
tabl,1045
pack,274
tightli,4
round,67
liter,111
touch,130
besid,65
us,1650
expect,492
nice,1714
ambianc,289
place,6548
want,1248
talk,262
privat,51
hear,89
everi,1119
word,143
say,1053
came,1181
lunch,1038
brodey,1
ashley,17
one,2831
femal,15
server,946
we,54
catch,58
name,350
help,598
out,501
friendli,1799
invit,85
accommod,164
toddler,9
delici,2709
sauc,1368
trifecta,11
level,146
good,5062
spici,709
messi,24
it,2010
back,2650
glove,11
raincoat,1
town,573
confer,10
check,542
yelp,311
local,383
spot,728
eat,1709
recommend,1576
hotel,142
staff,1558
review,767
reinforc,3
atmospher,886
seat,674
quickli,201
suggest,250
coupl,346
special,900
pork,651
chop,139
dinnerit,2
incred,362
juici,198
polenta,24
glaze,37
seal,7
deal,262
top,997
meal,1317
im,1517
seriou,34
hous,425
salad,1204
disappoint,549
bland,43
salt,128
n,179
pepper,231
flavor,1249
ranch,74
dress,221
didnt,35
close,383
like,3060
creami,175
herb,62
couldnt,6
identifi,3
tell,375
you,404
complet,176
made,1197
colleagu,27
gumbo,28
said,453
realli,2264
well,1792
chicken,1754
may,238
go,3239
tomorrow,16
donut,91
shop,303
fast,515
earli,157
run,205
also,2280
tri,3063
breakfast,700
burrito,302
pastrami,32
sandwich,1027
croissant,53
too,781
bad,371
thing,992
move,240
cant,968
would,1619
first,1298
happi,811
hour,627
menu,1748
regret,74
huge,597
highi,1
employe,149
use,511
mayb,213
still,677
is,188
jjanga,9
sakana,7
ill,329
ayc,66
sushi,936
vega,1164
near,164
futur,62
easili,103
sashimi,135
pile,32
salmon,282
yellowtail,39
albacor,9
sweet,784
cucumb,72
shrimp,470
roll,790
surpris,316
crunch,53
insid,433
savori,95
tuna,234
avocado,140
shit,17
appet,515
act,21
stuf,232
jalapeo,50
without,379
kick,118
afforgatto,1
alway,2091
beauti,344
bridal,3
shower,11
beat,159
bottomless,24
drink,1248
brunch,303
never,1004
wrong,236
order,3133
mula,2
flower,31
tortilla,129
al,75
pastor,34
rock,134
bottom,48
ale,35
tonight,124
larg,496
rebecca,7
except,234
home,582
dip,229
white,260
draft,46
mani,731
fun,419
drive,272
thru,32
plu,283
oz,63
although,192
sound,122
silli,11
ice,405
look,1196
clean,522
fresh,1635
true,127
kitchen,209
tfk,1
whole,307
play,186
field,17
dine,606
sesam,54
noodl,335
dish,1275
panda,13
express,40
chow,38
mein,51
greasi,89
feel,687
guilti,5
heavi,76
bf,54
turkey,131
offer,471
side,894
potato,579
kale,37
tast,1322
three,277
item,486
next,775
someth,592
column,2
flourless,10
chocol,451
cake,401
togo,31
ate,335
morn,175
wour,1
coffe,566
yum,239
wish,309
option,527
squeez,30
juic,121
hope,186
open,630
san,81
franciscoca,1
better,793
yet,289
joseca,1
yoooooo,1
legit,52
taco,735
ef,6
chanc,113
becom,117
victim,3
crime,8
area,705
worri,78
seem,324
rise,9
hipster,49
plaza,33
midwood,4
extend,11
reach,22
not,133
though,509
have,83
drool,20
fantast,752
favorit,1323
japanes,178
urbanachampaign,1
minut,420
might,210
own,147
late,186
ad,197
bonu,54
caus,65
highli,625
rate,140
basil,91
marscapon,3
burger,1095
son,107
deniro,3
mine,111
tasti,726
strong,96
thought,351
littl,1304
absolut,612
meh,11
overal,311
again,485
went,1064
myself,59
four,148
impress,350
hip,53
readi,128
more,248
closer,62
live,552
def,62
soon,334
husband,529
sunday,232
crowd,182
especi,353
am,121
on,191
patient,68
counter,140
need,640
wait,1364
montreal,107
simpli,159
inexpens,48
person,465
experi,1084
deli,66
sokolow,1
notr,2
dame,2
saint,5
marguerit,1
five,179
min,87
metro,18
st,94
henri,3
bakeri,67
cooki,128
dole,2
whip,61
poutin,87
owner,575
know,914
actual,389
least,271
famili,641
attent,585
opinion,119
gener,297
leav,268
far,472
read,182
critic,25
cost,98
chill,95
fella,16
day,952
nervou,18
young,78
man,220
guitar,9
i,235
let,426
nonsens,3
slide,12
serv,957
everyth,1342
insan,34
redneck,3
club,122
pull,187
brisket,133
along,179
slawso,1
basic,112
dream,72
ghost,8
mac,225
chees,1150
spice,234
even,1623
add,217
inferno,4
bbq,347
boyfriend,229
jack,31
both,57
intimidatingli,2
half,314
rack,33
enough,586
carolina,22
forget,120
tuck,45
th,111
street,239
effort,23
fit,53
routin,7
gaucho,11
carson,4
jacob,4
hand,398
caesar,78
front,216
must,571
ever,1234
honest,58
steak,674
plenti,216
perfect,1139
wagyu,31
select,603
smart,20
choic,406
share,443
compliment,103
perfectli,522
duck,194
fat,101
soooo,65
room,345
left,238
outstand,294
pleas,255
stop,599
steakhous,62
citi,220
enjoy,1075
meat,871
combo,166
bulgogi,31
ok,170
big,634
fan,302
bit,649
burn,38
custom,546
pittsburgh,116
bubbl,24
tea,374
real,298
bahn,13
mi,33
vegetarian,184
cuisin,137
reason,593
price,1500
pizza,1425
veggi,308
greet,220
certifi,9
kosher,7
irish,30
bar,1012
authent,341
attribut,4
poor,34
fact,179
american,109
disheswho,1
knew,152
typic,134
watch,226
sport,83
wa,160
seahawk,1
huski,2
featur,61
beer,756
whiskey,50
scotch,10
sinatra,13
end,496
entir,160
tripand,1
there,757
mom,151
sister,56
decid,484
conveni,71
admit,62
overli,57
excit,153
glanceespeci,1
celiac,7
diseas,3
glutenfre,16
interest,138
me,515
waiter,357
extrem,286
gluten,113
free,409
quinoa,20
base,164
pasta,318
varieti,307
brought,286
gfree,1
bread,685
vodka,43
nongrain,1
someon,141
dietari,17
restrict,18
find,689
beyond,123
wonder,692
last,618
week,468
group,298
ladi,160
sort,83
weird,51
uniqu,225
normal,169
noth,270
pretti,723
much,1017
high,294
ceil,27
cool,350
vibe,158
locat,861
decor,382
guestlist,2
wristband,1
pm,260
new,921
music,315
cold,197
mic,6
band,40
