"","x"
"1","worst"
"2","amaz"
"3","great"
"4","best"
"5","horribl"
"6","delici"
"7","terribl"
"8","love"
"9","awesom"
"10","excel"
"11","rude"
"12","neg_w"
"13","mediocr"
"14","ok"
"15","disappoint"
"16","bland"
"17","fantast"
"18","bad"
"19","friendli"
"20","overpr"
"21","aw"
"22","definit"
"23","favorit"
"24","suck"
"25","cold"
"26","averag"
"27","dri"
"28","slow"
"29","wast"
"30","perfect"
"31","poor"
"32","dirti"
"33","alway"
"34","order"
"35","minut"
"36","good"
"37","money"
"38","highli"
"39","sorri"
"40","lack"
"41","noth"
"42","charg"
"43","tast"
"44","unfortun"
"45","everyth"
"46","okay"
"47","outstand"
"48","happi"
"49","fresh"
"50","wonder"
"51","better"
"52","gem"
"53","use"
"54","frozen"
"55","yummi"
"56","salti"
"57","hour"
"58","vega"
"59","nicht"
"60","smell"
"61","nice"
"62","thank"
"63","bare"
"64","left"
"65","glad"
"66","authent"
"67","must"
"68","avoid"
"69","min"
"70","sad"
"71","too"
"72","again"
"73","told"
"74","attitud"
"75","seem"
"76","greasi"
"77","recommend"
"78","gone"
"79","everi"
"80","howev"
"81","mess"
"82","fast"
"83","incred"
"84","old"
"85","decent"
"86","call"
"87","well"
"88","last"
"89","guess"
"90","overcook"
"91","fabul"
"92","close"
"93","perfectli"
"94","super"
"95","expens"
"96","would"
"97","ridicul"
"98","paid"
"99","manag"
"100","yum"
"101","return"
"102","soggi"
"103","custom"
"104","excit"
"105","clean"
"106","beat"
"107","look"
"108","somewher"
"109","soon"
"110","tasti"
"111","cant"
"112","lettuc"
"113","went"
"114","unless"
"115","clearli"
"116","enjoy"
"117","live"
"118","walk"
"119","ist"
"120","attent"
"121","mayb"
"122","employe"
"123","leav"
"124","absolut"
"125","hope"
"126","not"
"127","bother"
"128","pay"
"129","cook"
"130","instead"
"131","surpris"
"132","for."
"133","empti"
"134","hand"
"135","da"
"136","suppos"
"137","und"
"138","ive"
"139","locat"
"140","spot"
"141","delight"
"142","five"
"143","welcom"
"144","complaint"
"145","serv"
"146","chewi"
"147","worth"
"148","littl"
"149","healthi"
"150","atmospher"
"151","week"
"152","phoenix"
"153","save"
"154","satisfi"
"155","pleasant"
"156","life"
"157","waiter"
"158","bring"
"159","town"
"160","no"
"161","loud"
"162","given"
"163","readi"
"164","top"
"165","pricey"
"166","fun"
"167","everyon"
"168","reason"
"169","give"
"170","limit"
"171","day"
"172","huge"
"173","got"
"174","also"
"175","afford"
"176","tri"
"177","free"
"178","qualiti"
"179","spici"
"180","except"
