serious,21
cannot,16
stand,23
mcdonald,11
never,117
get,366
order,473
right,90
food,742
almost,46
alway,160
suck,7
servic,402
sorri,14
employe,30
sure,89
show,28
hate,10
job,13
way,100
perform,4
work,71
use,63
teen,1
high,47
school,11
rememb,25
ever,95
take,105
long,74
drivethru,4
bitter,3
fact,24
there,99
lol,10
top,86
off,31
live,52
across,20
street,31
find,82
often,30
not,28
ugh,3
togeth,17
peopl,149
guy,42
terribl,21
honestli,16
anyth,40
nice,192
say,115
place,648
usual,60
review,91
talk,19
mess,11
wait,183
minut,98
morn,32
two,112
coffe,40
standard,16
back,272
less,29
car,16
amaz,115
truli,14
excel,99
best,212
lobster,44
bisqu,3
prime,12
rib,44
probabl,67
bedt,1
ive,181
had,43
great,476
downsid,1
size,46
portion,87
wast,8
lot,89
unfortun,21
second,25
time,362
here,108
seafood,26
awesom,62
got,197
king,16
crab,28
dinner,120
packag,6
come,253
soup,111
cook,92
differ,74
steam,10
friend,120
dri,41
garlic,27
fri,178
rice,84
hk,4
style,45
the,13
tower,1
see,84
photo,4
snow,4
pea,5
dessert,74
meant,2
pre,3
tax,6
tip,32
howev,62
larger,12
lb,7
pay,41
addit,13
extra,38
weight,5
think,136
amount,28
could,103
fed,2
parti,29
love,255
leg,7
super,73
yummi,33
restaur,314
definit,146
worth,74
visit,83
lover,6
busi,98
make,164
call,40
ahead,3
reserv,42
esp,2
plan,11
weekend,27
tabl,181
pack,26
tightli,1
round,9
liter,23
touch,10
besid,10
us,220
expect,89
ambianc,33
want,140
privat,8
hear,10
everi,74
word,18
stori,6
short,21
bunch,12
rude,20
heartless,1
ignor,6
asshol,1
run,25
compass,1
especi,43
feel,90
belong,1
suitabl,2
shitti,4
establish,18
mother,22
endur,1
extrem,30
humili,2
situat,6
bonjour,1
brioch,5
went,122
saturday,27
min,28
cane,6
nowher,4
sit,64
number,17
seat,79
her,14
ask,126
would,275
arriv,51
shed,1
like,404
basic,24
told,50
tough,7
shit,6
well,165
guest,14
cancel,2
last,72
eat,184
alon,8
go,353
serv,109
